day	month	year	count	sum
29	10	2015	1	3177
30	10	2015	0	3177
31	10	2015	1	3178
1	11	2015	8	3186
2	11	2015	2	3188
3	11	2015	1	3189
4	11	2015	13	3202
5	11	2015	3	3205
6	11	2015	8	3213
7	11	2015	5	3218
8	11	2015	0	3218
9	11	2015	0	3218
11	11	2015	5	3229
14	11	2015	5	3245
15	11	2015	0	3245
18	11	2015	0	3247
23	11	2015	0	3258
24	11	2015	0	3258
25	11	2015	1	3259
26	11	2015	0	3259
27	11	2015	5	3264
28	11	2015	0	3264
29	11	2015	5	3269
30	11	2015	1	3270
1	12	2015	1	3271
2	12	2015	1	3272
3	12	2015	5	3277
4	12	2015	0	3277
5	12	2015	0	3277
6	12	2015	1	3278
7	12	2015	0	3278
8	12	2015	1	3279
9	12	2015	1	3280
10	12	2015	1	3281
11	12	2015	0	3281
12	12	2015	0	3281
13	12	2015	1	3282
14	12	2015	0	3282
15	12	2015	0	3282
16	12	2015	0	3282
17	12	2015	3	3285
19	12	2015	0	3285
20	12	2015	0	3285
21	12	2015	0	3285
22	12	2015	0	3285
23	12	2015	0	3285
24	12	2015	4	3289
25	12	2015	0	3289
26	12	2015	0	3289
27	12	2015	0	3289
28	12	2015	1	3290
29	12	2015	0	3290
30	12	2015	0	3290
31	12	2015	2	3292
1	1	2016	1	3293
2	1	2016	0	3293
3	1	2016	0	3293
